location,location_type,temp_c,heat_index_c,hour_of_day,exceedance_duration,safe_duration_minutes
Dubai Marina,open_street,37.5,41.0,19,0,14
Dubai Marina,open_street,37.5,41.0,19,4,8
Dubai Marina,open_street,39.0,42.5,16,4,9
Dubai Marina,open_street,36.5,40.0,7,1,13
Dubai Marina,open_street,39.5,43.0,13,3,10
Dubai Marina,open_street,39.0,42.5,12,0,14
Dubai Marina,open_street,36.0,39.5,6,3,10
Dubai Marina,open_street,38.0,41.5,18,3,10
Dubai Marina,open_street,38.5,42.0,17,4,9
Dubai Marina,open_street,39.5,43.0,13,1,13
Dubai Marina,open_street,37.5,41.0,9,0,15
Dubai Marina,open_street,40.0,43.5,14,0,15
Dubai Marina,open_street,36.0,39.5,6,0,15
Dubai Marina,open_street,40.0,43.5,14,4,8
Dubai Marina,open_street,40.0,43.5,14,0,15
Dubai Marina,open_street,36.5,40.0,7,4,8
"Umm Al Emarat Park, AD",park,35.0,38.5,19,1,13
"Umm Al Emarat Park, AD",park,34.5,38.0,20,4,8
"Umm Al Emarat Park, AD",park,37.0,40.5,15,0,15
"Umm Al Emarat Park, AD",park,36.5,40.0,12,4,9
"Umm Al Emarat Park, AD",park,36.0,39.5,11,2,11
"Umm Al Emarat Park, AD",park,36.0,39.5,17,2,11
"Umm Al Emarat Park, AD",park,36.5,40.0,12,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,3,10
"Umm Al Emarat Park, AD",park,35.5,39.0,18,0,14
"Umm Al Emarat Park, AD",park,37.0,40.5,15,4,9
"Umm Al Emarat Park, AD",park,34.0,37.5,7,4,17
"Umm Al Emarat Park, AD",park,35.5,39.0,10,1,14
"Umm Al Emarat Park, AD",park,34.5,38.0,20,0,15
"Umm Al Emarat Park, AD",park,36.0,39.5,11,2,11
"Umm Al Emarat Park, AD",park,35.0,38.5,19,4,9
"Umm Al Emarat Park, AD",park,37.0,40.5,15,4,8
"Umm Al Emarat Park, AD",park,35.0,38.5,19,4,8
"Umm Al Emarat Park, AD",park,36.5,40.0,16,0,15
"Umm Al Emarat Park, AD",park,34.5,38.0,8,2,11
"Umm Al Emarat Park, AD",park,34.0,37.5,7,4,17
"Umm Al Emarat Park, AD",park,35.5,39.0,10,4,8
"Umm Al Emarat Park, AD",park,36.0,39.5,11,1,13
"Umm Al Emarat Park, AD",park,35.0,38.5,19,2,12
"Umm Al Emarat Park, AD",park,35.5,39.0,10,0,14
"Umm Al Emarat Park, AD",park,36.5,40.0,12,2,11
"Umm Al Emarat Park, AD",park,36.0,39.5,11,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,1,13
"Umm Al Emarat Park, AD",park,37.5,41.0,14,3,10
"Umm Al Emarat Park, AD",park,34.0,37.5,7,0,31
"Umm Al Emarat Park, AD",park,36.0,39.5,17,1,13
"Umm Al Emarat Park, AD",park,35.0,38.5,19,2,12
"Umm Al Emarat Park, AD",park,34.5,38.0,8,3,10
"Umm Al Emarat Park, AD",park,35.5,39.0,10,2,12
"Umm Al Emarat Park, AD",park,35.5,39.0,18,0,15
"Umm Al Emarat Park, AD",park,35.0,38.5,9,1,13
"Umm Al Emarat Park, AD",park,36.0,39.5,11,4,9
"Umm Al Emarat Park, AD",park,36.5,40.0,12,4,9
"Umm Al Emarat Park, AD",park,34.5,38.0,20,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,18,1,14
"Umm Al Emarat Park, AD",park,33.5,37.0,6,1,27
"Umm Al Emarat Park, AD",park,36.0,39.5,11,3,10
"Umm Al Emarat Park, AD",park,35.0,38.5,19,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,18,0,14
"Umm Al Emarat Park, AD",park,33.5,37.0,6,3,20
"Umm Al Emarat Park, AD",park,35.0,38.5,19,3,10
"Umm Al Emarat Park, AD",park,35.0,38.5,19,1,13
"Umm Al Emarat Park, AD",park,36.5,40.0,16,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,0,15
"Umm Al Emarat Park, AD",park,35.5,39.0,10,2,12
"Umm Al Emarat Park, AD",park,36.5,40.0,12,4,8
"Umm Al Emarat Park, AD",park,33.5,37.0,6,0,31
"Umm Al Emarat Park, AD",park,35.5,39.0,10,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,0,14
"Umm Al Emarat Park, AD",park,36.5,40.0,12,2,12
"Umm Al Emarat Park, AD",park,36.0,39.5,11,3,10
"Umm Al Emarat Park, AD",park,37.5,41.0,14,0,14
"Umm Al Emarat Park, AD",park,37.0,40.5,15,1,13
"Umm Al Emarat Park, AD",park,36.0,39.5,17,3,9
"Umm Al Emarat Park, AD",park,34.5,38.0,20,4,9
"Umm Al Emarat Park, AD",park,36.0,39.5,17,1,13
"Umm Al Emarat Park, AD",park,34.0,37.5,7,2,24
"Umm Al Emarat Park, AD",park,36.5,40.0,16,0,15
"Umm Al Emarat Park, AD",park,35.5,39.0,10,4,8
"Umm Al Emarat Park, AD",park,36.5,40.0,12,2,11
"Umm Al Emarat Park, AD",park,35.5,39.0,10,4,8
"Umm Al Emarat Park, AD",park,36.5,40.0,12,3,10
"Umm Al Emarat Park, AD",park,34.5,38.0,20,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,3,10
"Umm Al Emarat Park, AD",park,33.5,37.0,6,2,23
"Umm Al Emarat Park, AD",park,36.5,40.0,12,4,9
"Umm Al Emarat Park, AD",park,36.0,39.5,11,3,10
"Umm Al Emarat Park, AD",park,36.5,40.0,16,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,18,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,4,9
"Umm Al Emarat Park, AD",park,37.0,40.5,15,2,11
"Umm Al Emarat Park, AD",park,35.5,39.0,18,1,13
"Umm Al Emarat Park, AD",park,35.0,38.5,9,1,13
"Umm Al Emarat Park, AD",park,33.5,37.0,6,1,28
"Umm Al Emarat Park, AD",park,37.0,40.5,15,0,14
"Umm Al Emarat Park, AD",park,34.5,38.0,20,4,8
"Umm Al Emarat Park, AD",park,36.0,39.5,17,3,10
"Umm Al Emarat Park, AD",park,35.0,38.5,9,1,13
"Umm Al Emarat Park, AD",park,33.5,37.0,6,0,30
"Umm Al Emarat Park, AD",park,35.0,38.5,9,1,13
"Umm Al Emarat Park, AD",park,36.0,39.5,17,4,8
"Umm Al Emarat Park, AD",park,37.5,41.0,14,1,14
"Umm Al Emarat Park, AD",park,34.0,37.5,7,3,20
"Umm Al Emarat Park, AD",park,37.0,40.5,13,4,9
"Umm Al Emarat Park, AD",park,37.0,40.5,15,2,12
"Umm Al Emarat Park, AD",park,34.5,38.0,20,3,10
"Umm Al Emarat Park, AD",park,36.0,39.5,17,4,8
"Umm Al Emarat Park, AD",park,34.5,38.0,20,4,8
"Umm Al Emarat Park, AD",park,34.5,38.0,8,3,10
"Umm Al Emarat Park, AD",park,35.5,39.0,18,1,13
"Umm Al Emarat Park, AD",park,35.5,39.0,10,4,8
"Umm Al Emarat Park, AD",park,35.0,38.5,9,2,11
"Umm Al Emarat Park, AD",park,36.0,39.5,17,2,11
"Umm Al Emarat Park, AD",park,36.0,39.5,11,2,12
"Umm Al Emarat Park, AD",park,34.0,37.5,7,1,26
"Umm Al Emarat Park, AD",park,36.5,40.0,12,1,13
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,3,10
Phoenix Downtown Transit,bus_stop,39.0,42.5,14,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,3,10
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,4,9
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,4,8
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,2,11
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,3,10
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,4,9
Phoenix Downtown Transit,bus_stop,36.0,39.5,20,1,13
Phoenix Downtown Transit,bus_stop,37.0,40.5,10,3,10
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,2,12
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,19,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,4,8
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,4,9
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,0,15
Phoenix Downtown Transit,bus_stop,36.0,39.5,8,3,10
Phoenix Downtown Transit,bus_stop,37.0,40.5,10,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,2,11
Phoenix Downtown Transit,bus_stop,36.0,39.5,20,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,19,3,10
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,3,9
Phoenix Downtown Transit,bus_stop,39.0,42.5,14,0,15
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,1,13
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,0,15
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,1,13
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,1,13
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,0,15
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,3,10
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,2,11
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,0,15
Phoenix Downtown Transit,bus_stop,36.0,39.5,8,2,11
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,2,12
Phoenix Downtown Transit,bus_stop,36.0,39.5,20,3,10
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,1,12
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,1,12
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,2,12
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,0,15
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,0,14
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,2,11
Phoenix Downtown Transit,bus_stop,38.0,41.5,16,2,11
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,3,10
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,3,10
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,1,13
Phoenix Downtown Transit,bus_stop,38.0,41.5,16,2,12
Phoenix Downtown Transit,bus_stop,36.0,39.5,20,4,9
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,2,11
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,0,14
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,1,13
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,4,9
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,0,14
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,1,13
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,2,11
Phoenix Downtown Transit,bus_stop,36.0,39.5,20,4,9
Phoenix Downtown Transit,bus_stop,37.0,40.5,10,4,8
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,0,14
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,3,10
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,2,11
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,1,13
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,2,11
Phoenix Downtown Transit,bus_stop,39.0,42.5,14,2,11
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,4,8
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,3,10
Phoenix Downtown Transit,bus_stop,37.0,40.5,10,1,12
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,2,11
Phoenix Downtown Transit,bus_stop,39.0,42.5,14,1,13
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,4,9
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,1,13
Phoenix Downtown Transit,bus_stop,37.5,41.0,11,1,13
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,4,8
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,0,15
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,1,13
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,3,10
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,4,8
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,3,10
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,2,12
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,0,15
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,3,10
Phoenix Downtown Transit,bus_stop,38.0,41.5,16,0,14
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,4,9
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,1,12
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,3,10
Phoenix Downtown Transit,bus_stop,37.0,40.5,18,4,8
Phoenix Downtown Transit,bus_stop,39.0,42.5,14,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,13,2,12
Phoenix Downtown Transit,bus_stop,38.0,41.5,12,2,12
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,4,9
Phoenix Downtown Transit,bus_stop,35.5,39.0,7,1,13
Phoenix Downtown Transit,bus_stop,37.0,40.5,10,0,14
Phoenix Downtown Transit,bus_stop,36.0,39.5,8,4,8
Phoenix Downtown Transit,bus_stop,35.0,38.5,6,3,10
Phoenix Downtown Transit,bus_stop,38.5,42.0,15,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,2,12
Phoenix Downtown Transit,bus_stop,37.5,41.0,17,3,10
Phoenix Downtown Transit,bus_stop,36.5,40.0,9,2,12
Phoenix Downtown Transit,bus_stop,38.0,41.5,16,4,9
Miami South Beach,residential,35.5,39.0,20,1,13
Miami South Beach,residential,38.5,42.0,14,1,13
Miami South Beach,residential,35.5,39.0,20,2,12
Miami South Beach,residential,35.0,38.5,7,0,14
Miami South Beach,residential,36.5,40.0,10,4,9
Miami South Beach,residential,38.0,41.5,15,2,11
Miami South Beach,residential,38.0,41.5,13,2,12
Miami South Beach,residential,36.5,40.0,10,4,9
Miami South Beach,residential,38.0,41.5,13,0,15
Miami South Beach,residential,35.5,39.0,20,3,10
Miami South Beach,residential,38.0,41.5,15,2,11
Miami South Beach,residential,36.0,39.5,9,4,9
Miami South Beach,residential,34.5,38.0,6,2,12
Miami South Beach,residential,36.5,40.0,18,1,13
Miami South Beach,residential,37.5,41.0,16,3,10
Miami South Beach,residential,35.5,39.0,8,4,8
Miami South Beach,residential,36.0,39.5,19,3,10
Miami South Beach,residential,38.0,41.5,13,2,11
Miami South Beach,residential,37.0,40.5,11,0,15
Miami South Beach,residential,37.0,40.5,11,3,10
Miami South Beach,residential,36.5,40.0,10,3,10
Miami South Beach,residential,38.5,42.0,14,0,14
Miami South Beach,residential,37.0,40.5,11,2,11
Miami South Beach,residential,36.5,40.0,18,3,10
Miami South Beach,residential,36.0,39.5,19,0,15
Miami South Beach,residential,38.5,42.0,14,3,10
Miami South Beach,residential,36.0,39.5,9,4,8
Miami South Beach,residential,36.5,40.0,18,3,10
Miami South Beach,residential,36.5,40.0,18,0,14
Miami South Beach,residential,38.5,42.0,14,1,14
Miami South Beach,residential,38.0,41.5,13,3,10
Miami South Beach,residential,37.5,41.0,16,4,9
Miami South Beach,residential,37.0,40.5,17,1,13
Miami South Beach,residential,34.5,38.0,6,4,8
Miami South Beach,residential,36.0,39.5,9,0,14
Miami South Beach,residential,35.0,38.5,7,1,13
Miami South Beach,residential,37.0,40.5,17,2,12
Miami South Beach,residential,36.5,40.0,10,3,10
Miami South Beach,residential,38.0,41.5,13,1,13
Miami South Beach,residential,35.5,39.0,8,3,10
Miami South Beach,residential,38.0,41.5,15,4,9
Miami South Beach,residential,35.5,39.0,8,0,14
Miami South Beach,residential,36.5,40.0,18,3,10
Miami South Beach,residential,36.5,40.0,18,4,8
Miami South Beach,residential,34.5,38.0,6,2,12
Miami South Beach,residential,36.0,39.5,19,4,9
Miami South Beach,residential,37.5,41.0,16,3,10
Miami South Beach,residential,38.0,41.5,13,4,8
Miami South Beach,residential,37.0,40.5,11,4,9
Miami South Beach,residential,37.5,41.0,12,3,10
Miami South Beach,residential,36.0,39.5,19,1,14
Miami South Beach,residential,36.0,39.5,9,4,8
Miami South Beach,residential,36.0,39.5,19,3,10
Miami South Beach,residential,37.0,40.5,17,3,10
Miami South Beach,residential,36.5,40.0,18,3,10
Miami South Beach,residential,37.5,41.0,16,1,13
Miami South Beach,residential,34.5,38.0,6,1,13
Miami South Beach,residential,38.0,41.5,15,2,12
Miami South Beach,residential,36.0,39.5,19,3,10
Miami South Beach,residential,35.5,39.0,20,3,9
Miami South Beach,residential,35.5,39.0,8,3,10
Miami South Beach,residential,35.5,39.0,8,0,14
Miami South Beach,residential,36.5,40.0,10,2,12
Miami South Beach,residential,37.5,41.0,12,0,15
Miami South Beach,residential,36.0,39.5,19,4,8
Miami South Beach,residential,37.0,40.5,11,3,10
Miami South Beach,residential,34.5,38.0,6,4,8
Miami South Beach,residential,37.5,41.0,16,2,12
Miami South Beach,residential,37.0,40.5,17,0,14
Miami South Beach,residential,35.0,38.5,7,0,14
Miami South Beach,residential,37.0,40.5,17,2,12
Miami South Beach,residential,34.5,38.0,6,2,12
Miami South Beach,residential,36.5,40.0,10,2,11
Miami South Beach,residential,35.5,39.0,8,1,13
Miami South Beach,residential,38.0,41.5,15,1,13
Miami South Beach,residential,35.0,38.5,7,4,9
Miami South Beach,residential,38.0,41.5,15,1,13
Miami South Beach,residential,38.0,41.5,15,1,13
Miami South Beach,residential,37.5,41.0,16,2,11
Miami South Beach,residential,37.5,41.0,16,0,15
Miami South Beach,residential,38.0,41.5,13,2,12
Miami South Beach,residential,35.5,39.0,8,0,14
Miami South Beach,residential,37.0,40.5,11,4,8
Miami South Beach,residential,37.5,41.0,12,2,11
Miami South Beach,residential,36.5,40.0,10,1,14
Miami South Beach,residential,36.0,39.5,19,3,10
Miami South Beach,residential,37.5,41.0,12,4,8
Miami South Beach,residential,36.5,40.0,10,2,11
Miami South Beach,residential,36.0,39.5,19,3,10
Miami South Beach,residential,38.0,41.5,15,0,15
Miami South Beach,residential,37.0,40.5,17,3,10
Miami South Beach,residential,35.5,39.0,20,2,12
Miami South Beach,residential,36.0,39.5,9,4,9
Miami South Beach,residential,36.0,39.5,9,1,13
Miami South Beach,residential,37.5,41.0,16,1,13
Miami South Beach,residential,35.5,39.0,20,0,14
Miami South Beach,residential,38.0,41.5,13,0,15
Miami South Beach,residential,37.0,40.5,17,1,12
Miami South Beach,residential,36.5,40.0,10,2,12
Miami South Beach,residential,35.5,39.0,8,1,13
Riyadh King Fahd Rd,open_street,40.0,43.5,14,2,12
Riyadh King Fahd Rd,open_street,37.0,40.5,20,2,12
Riyadh King Fahd Rd,open_street,38.0,41.5,10,3,10
Riyadh King Fahd Rd,open_street,38.0,41.5,10,2,12
Riyadh King Fahd Rd,open_street,39.5,43.0,13,0,14
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,38.0,41.5,18,4,8
Riyadh King Fahd Rd,open_street,38.0,41.5,18,3,9
Riyadh King Fahd Rd,open_street,40.0,43.5,14,0,14
Riyadh King Fahd Rd,open_street,39.0,42.5,16,2,12
Riyadh King Fahd Rd,open_street,37.5,41.0,19,2,11
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,37.0,40.5,20,4,8
Riyadh King Fahd Rd,open_street,39.5,43.0,15,1,13
Riyadh King Fahd Rd,open_street,39.0,42.5,16,3,10
Riyadh King Fahd Rd,open_street,38.0,41.5,10,3,10
Riyadh King Fahd Rd,open_street,36.0,39.5,6,0,14
Riyadh King Fahd Rd,open_street,39.5,43.0,13,0,14
Riyadh King Fahd Rd,open_street,37.0,40.5,20,4,8
Riyadh King Fahd Rd,open_street,39.5,43.0,13,2,12
Riyadh King Fahd Rd,open_street,38.5,42.0,17,4,8
Riyadh King Fahd Rd,open_street,38.5,42.0,17,1,14
Riyadh King Fahd Rd,open_street,39.0,42.5,16,0,15
Riyadh King Fahd Rd,open_street,39.5,43.0,15,3,10
Riyadh King Fahd Rd,open_street,38.0,41.5,10,0,15
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,37.5,41.0,9,2,11
Riyadh King Fahd Rd,open_street,39.0,42.5,16,2,12
Riyadh King Fahd Rd,open_street,39.0,42.5,16,2,11
Riyadh King Fahd Rd,open_street,38.0,41.5,10,1,14
Riyadh King Fahd Rd,open_street,37.5,41.0,19,3,10
Riyadh King Fahd Rd,open_street,37.5,41.0,9,4,9
Riyadh King Fahd Rd,open_street,36.0,39.5,6,2,11
Riyadh King Fahd Rd,open_street,37.0,40.5,8,4,8
Riyadh King Fahd Rd,open_street,37.5,41.0,19,4,8
Riyadh King Fahd Rd,open_street,37.5,41.0,9,1,13
Riyadh King Fahd Rd,open_street,37.0,40.5,8,4,8
Riyadh King Fahd Rd,open_street,37.5,41.0,19,1,14
Riyadh King Fahd Rd,open_street,40.0,43.5,14,2,12
Riyadh King Fahd Rd,open_street,36.5,40.0,7,0,14
Riyadh King Fahd Rd,open_street,38.5,42.0,11,1,13
Riyadh King Fahd Rd,open_street,36.0,39.5,6,1,13
Riyadh King Fahd Rd,open_street,37.0,40.5,8,3,10
Riyadh King Fahd Rd,open_street,38.5,42.0,17,0,14
Riyadh King Fahd Rd,open_street,38.0,41.5,18,2,12
Riyadh King Fahd Rd,open_street,36.5,40.0,7,3,10
Riyadh King Fahd Rd,open_street,39.5,43.0,15,0,15
Riyadh King Fahd Rd,open_street,37.0,40.5,20,4,8
Riyadh King Fahd Rd,open_street,39.0,42.5,16,0,14
Riyadh King Fahd Rd,open_street,39.5,43.0,13,3,10
Riyadh King Fahd Rd,open_street,36.5,40.0,7,3,10
Riyadh King Fahd Rd,open_street,39.5,43.0,13,0,15
Riyadh King Fahd Rd,open_street,38.5,42.0,11,4,8
Riyadh King Fahd Rd,open_street,37.0,40.5,8,2,12
Riyadh King Fahd Rd,open_street,39.5,43.0,15,4,9
Riyadh King Fahd Rd,open_street,39.0,42.5,12,4,9
Riyadh King Fahd Rd,open_street,39.5,43.0,13,4,9
Riyadh King Fahd Rd,open_street,36.5,40.0,7,0,15
Riyadh King Fahd Rd,open_street,39.0,42.5,16,4,9
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,37.5,41.0,9,3,10
Riyadh King Fahd Rd,open_street,39.5,43.0,13,3,10
Riyadh King Fahd Rd,open_street,36.5,40.0,7,2,11
Riyadh King Fahd Rd,open_street,39.0,42.5,16,2,11
Riyadh King Fahd Rd,open_street,37.0,40.5,8,3,10
Riyadh King Fahd Rd,open_street,37.5,41.0,19,0,14
Riyadh King Fahd Rd,open_street,36.5,40.0,7,2,12
Riyadh King Fahd Rd,open_street,40.0,43.5,14,0,15
Riyadh King Fahd Rd,open_street,40.0,43.5,14,4,8
Riyadh King Fahd Rd,open_street,36.5,40.0,7,3,10
Riyadh King Fahd Rd,open_street,39.0,42.5,16,3,10
Riyadh King Fahd Rd,open_street,38.5,42.0,17,0,15
